Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018S01,"S1   2018",0000,"World",00,"All ships",0.97,,,18,,,15222,,,24074,,,3526,,,234006,,,441561,,,21413,,
2018S01,"S1   2018",0000,"World",02,"Liquid bulk carriers",0.94,,,13,,,15470,,,26871,,,,,"Not available or not separately reported",234006,,,441561,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",07,"Liquefied petroleum gas carriers",1,,,14,,,10548,,,11915,,,,,"Not available or not separately reported",57509,,,64220,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",08,"Liquefied natural gas carriers",1.11,,,11,,,92660,,,72117,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",05,"Dry bulk carriers",2.1,,,13,,,32136,,,57574,,,,,"Not available or not separately reported",203403,,,404389,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",04,"Dry breakbulk carriers",1.12,,,19,,,5455,,,7413,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,25291,,,10192,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018S01,"S1   2018",0000,"World",03,"Container ships",0.69,,,13,,,38405,,,,,"Not available or not separately reported",3526,,,217673,,,,,"Not available or not separately reported",21413,,
2018S01,"S1   2018",0000,"World",01,"Passenger ships",,,"Not available or not separately reported",21,,,8978,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",00,"All ships",1.49,,,19,,,25686,,,78572,,,4263,,,168666,,,299688,,,8084,,
2018S01,"S1   2018",036,"Australia",02,"Liquid bulk carriers",1.34,,,7,,,23585,,,40187,,,,,"Not available or not separately reported",85496,,,166447,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",07,"Liquefied petroleum gas carriers",0.87,,,11,,,12082,,,14044,,,,,"Not available or not separately reported",48963,,,55250,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",08,"Liquefied natural gas carriers",1.23,,,9,,,110103,,,84312,,,,,"Not available or not separately reported",144978,,,121963,,,,,"Not available or not separately reported"
2018S01,"S1   2018",036,"Australia",05,"Dry bulk carriers",1.68,,,9,,,59996,,,112598,,,,,"Not available or not separately reported",152305,,,299688,,,,,"Not available or not separately reported"
